species,decimalLatitude,decimalLongitude
Anthracoceros malayanus,2.381917,103.02001
Buceros rhinoceros,4.962297,117.80357
Buceros bicornis,3.39881,101.7667
Rhyticeros undulatus,5.578515,101.34368
Rhyticeros undulatus,3.724871,101.71441
Aceros corrugatus,5.480707,118.25985
Buceros bicornis,3.861025,103.309044
Anorrhinus galeritus,5.555167,101.32074
Anthracoceros malayanus,2.791139,102.15746
Buceros rhinoceros,5.685463,118.381165
Buceros bicornis,6.366567,99.81818
Buceros rhinoceros,5.239341,118.71002
Aceros corrugatus,5.488901,118.22541
Aceros corrugatus,5.498167,118.280914
Buceros rhinoceros,3.92996,103.04697
Anthracoceros malayanus,4.032314,114.81946
Anthracoceros albirostris,3.81639,103.34812
Anorrhinus galeritus,3.400343,101.77187
Buceros rhinoceros,5.876139,117.944145
Anthracoceros albirostris,6.247586,100.81462
Anthracoceros malayanus,5.0198,117.7462
Anthracoceros albirostris,5.498167,118.280914
Aceros corrugatus,5.486222,118.27065
Aceros corrugatus,5.468624,118.187744
Anorrhinus galeritus,5.53757,118.297104
Anthracoceros malayanus,5.555167,101.32074
Anorrhinus galeritus,5.509894,118.29645
Anorrhinus galeritus,5.86304,117.948
Buceros rhinoceros,4.962297,117.80357
Anthracoceros albirostris,5.873053,117.946144
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.468624,118.187744
Aceros corrugatus,5.53757,118.297104
Berenicornis comatus,5.508605,118.282265
Buceros rhinoceros,1.87187,103.86557
Berenicornis comatus,5.530219,118.07522
Anthracoceros malayanus,5.86719,117.94892
Berenicornis comatus,6.320417,100.481384
Buceros bicornis,3.395876,101.78547
Berenicornis comatus,5.21556,118.71901
Anthracoceros malayanus,3.996884,101.81487
Rhyticeros undulatus,4.678866,102.057495
Rhyticeros undulatus,6.247586,100.81462
Rhyticeros undulatus,5.239341,118.71002
Anorrhinus galeritus,5.508605,118.282265
Rhyticeros undulatus,5.53757,118.297104
Anthracoceros albirostris,5.060987,102.992874
Anorrhinus galeritus,3.409241,101.84481
Anthracoceros malayanus,4.678866,102.057495
Anorrhinus galeritus,5.876139,117.944145
Anthracoceros albirostris,6.247586,100.81462
Berenicornis comatus,5.415138,118.03733
Anthracoceros albirostris,2.435056,103.84123
Rhyticeros undulatus,5.0198,117.7462
Anorrhinus galeritus,1.867525,103.90876
Anthracoceros malayanus,4.397206,102.402176
Anorrhinus galeritus,5.606146,101.541725
Anthracoceros albirostris,3.579722,102.16389
Buceros rhinoceros,5.508605,118.282265
Anorrhinus galeritus,5.876139,117.944145
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,4.585751,114.029205
Anthracoceros malayanus,1.861087,103.892876
Rhyticeros undulatus,5.468624,118.187744
Aceros corrugatus,5.498123,118.28079
Anorrhinus galeritus,5.508605,118.282265
Anthracoceros albirostris,6.247586,100.81462
Anthracoceros albirostris,5.484691,118.26486
Buceros rhinoceros,5.876139,117.944145
Anthracoceros albirostris,5.946333,116.04579
Buceros rhinoceros,5.602217,101.36182
Anthracoceros albirostris,4.3992,117.8892
Anthracoceros albirostris,3.103216,101.52174
Aceros corrugatus,5.0198,117.7462
Buceros rhinoceros,5.188017,118.5018
Rhyticeros undulatus,6.011508,116.54179
Aceros corrugatus,5.876139,117.944145
Rhyticeros undulatus,6.009504,116.54108
Berenicornis comatus,6.320417,100.481384
Anthracoceros albirostris,5.86684,117.94813
Anthracoceros albirostris,5.602217,101.36182
Anthracoceros albirostris,4.962297,117.80357
Rhyticeros subruficollis,5.606525,101.542946
Anthracoceros albirostris,3.547216,103.29768
Buceros rhinoceros,1.827886,103.867
Buceros bicornis,3.692246,101.74872
Aceros corrugatus,5.484427,118.23382
Rhyticeros undulatus,5.604801,101.5418
Anthracoceros albirostris,4.840405,100.63597
Anthracoceros albirostris,3.324267,101.2591
Anthracoceros malayanus,5.324843,115.67288
Buceros rhinoceros,5.498167,118.280914
Anthracoceros albirostris,6.247586,100.81462
Buceros rhinoceros,4.962297,117.80357
Anthracoceros malayanus,4.678866,102.057495
Anthracoceros malayanus,5.86304,117.948
Anthracoceros malayanus,3.570138,102.15947
Anthracoceros malayanus,4.173167,114.038
Anthracoceros malayanus,5.188017,118.5018
Anthracoceros albirostris,4.962297,117.80357
Anthracoceros albirostris,3.457558,101.19993
Buceros rhinoceros,4.865498,100.76212
Aceros corrugatus,5.876139,117.944145
Buceros rhinoceros,4.962297,117.80357
Anthracoceros malayanus,2.561021,103.77714
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,4.962297,117.80357
Anthracoceros albirostris,6.366567,99.81818
Anthracoceros malayanus,5.53757,118.297104
Rhyticeros undulatus,6.172215,100.84017
Anthracoceros malayanus,5.239341,118.71002
Buceros rhinoceros,4.426674,117.936104
Rhyticeros undulatus,6.320417,100.481384
Anorrhinus galeritus,5.188017,118.5018
Anorrhinus galeritus,5.530219,118.07522
Berenicornis comatus,5.508605,118.282265
Buceros rhinoceros,5.569477,101.42461
Aceros corrugatus,5.491432,118.20993
Rhyticeros undulatus,5.188017,118.5018
Anthracoceros malayanus,5.876139,117.944145
Anorrhinus galeritus,5.020433,117.749954
Anthracoceros albirostris,5.498167,118.280914
Anorrhinus galeritus,5.498167,118.280914
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros albirostris,5.506437,118.276245
Buceros rhinoceros,5.876139,117.944145
Anthracoceros albirostris,6.019361,116.02318
Anthracoceros albirostris,4.857081,100.74997
Aceros corrugatus,5.53757,118.297104
Anthracoceros malayanus,4.678866,102.057495
Rhyticeros undulatus,5.498167,118.280914
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,6.429692,99.67518
Aceros corrugatus,5.479963,118.24204
Rhyticeros undulatus,6.009504,116.54108
Anthracoceros malayanus,5.401473,116.09889
Aceros corrugatus,5.468624,118.187744
Aceros corrugatus,5.465589,118.25376
Anthracoceros albirostris,5.491432,118.20993
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.508605,118.282265
